,country_region_code,country_region,sub_region_1,sub_region_2,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
713162,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-27,-80.0,-48.0,-64.0,-81.0,-66.0,31.0
713163,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-28,-80.0,-49.0,-67.0,-82.0,-66.0,34.0
713164,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-29,-83.0,-61.0,-83.0,-82.0,-68.0,36.0
713165,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-04-30,-81.0,-48.0,-73.0,-81.0,-66.0,34.0
713166,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-01,-84.0,-46.0,-73.0,-81.0,-65.0,36.0
713167,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-02,-82.0,-40.0,-76.0,-75.0,-47.0,24.0
713168,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-03,-80.0,-41.0,-68.0,-76.0,-48.0,19.0
713169,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-04,-79.0,-47.0,-67.0,-79.0,-65.0,30.0
713170,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-05,-78.0,-46.0,-52.0,-79.0,-64.0,32.0
713171,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-06,-80.0,-53.0,-65.0,-79.0,-65.0,33.0
713172,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-07,-80.0,-45.0,-63.0,-79.0,-64.0,33.0
713173,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-08,-81.0,-38.0,-52.0,-78.0,-63.0,33.0
713174,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-09,-81.0,-39.0,-79.0,-75.0,-45.0,24.0
713175,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-10,-78.0,-39.0,-66.0,-74.0,-46.0,17.0
713176,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-11,-78.0,-46.0,-63.0,-79.0,-64.0,30.0
713177,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-12,-77.0,-44.0,-62.0,-78.0,-63.0,32.0
713178,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-13,-78.0,-51.0,-67.0,-78.0,-64.0,32.0
713179,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-14,-77.0,-44.0,-61.0,-77.0,-63.0,32.0
713180,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-15,-79.0,-37.0,-50.0,-75.0,-62.0,31.0
713181,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-16,-74.0,-32.0,-42.0,-64.0,-41.0,16.0
713182,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-17,-73.0,-34.0,-43.0,-67.0,-42.0,13.0
713183,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-18,-75.0,-41.0,-52.0,-75.0,-61.0,28.0
713184,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-19,-76.0,-44.0,-59.0,-77.0,-62.0,30.0
713185,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-20,-76.0,-47.0,-66.0,-77.0,-64.0,31.0
713186,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-21,-78.0,-47.0,-74.0,-77.0,-63.0,33.0
713187,AU,Australia,Victoria,City of Melbourne,ChIJv_FYgkNd1moRpxLuRXZURFs,2020-05-22,-78.0,-35.0,-54.0,-74.0,-61.0,31.0
