,country_region_code,country_region,sub_region_1,sub_region_2,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
610942,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-09,-23.0,-3.0,-3.0,-55.0,-25.0,13.0
610943,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-10,-24.0,-3.0,-30.0,-55.0,-26.0,15.0
610944,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-11,-22.0,-1.0,-4.0,-55.0,-25.0,13.0
610945,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-12,-19.0,1.0,-5.0,-51.0,-23.0,12.0
610946,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-13,-16.0,0.0,12.0,-50.0,-10.0,7.0
610947,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-14,-21.0,-7.0,-42.0,-62.0,-17.0,8.0
610948,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-15,-20.0,-3.0,-8.0,-53.0,-22.0,11.0
610949,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-16,-21.0,-1.0,3.0,-51.0,-23.0,12.0
610950,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-17,-20.0,-1.0,3.0,-49.0,-24.0,12.0
610951,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-18,-21.0,-4.0,-14.0,-52.0,-24.0,12.0
610952,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-19,-18.0,1.0,-8.0,-50.0,-22.0,11.0
610953,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-20,-16.0,-1.0,-27.0,-52.0,-10.0,7.0
610954,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-21,-16.0,-6.0,13.0,-54.0,-13.0,5.0
610955,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-22,-19.0,-4.0,-7.0,-52.0,-24.0,11.0
610956,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-23,-20.0,-3.0,0.0,-52.0,-25.0,11.0
610957,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-24,-18.0,-1.0,-1.0,-49.0,-25.0,12.0
610958,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-25,-18.0,-1.0,4.0,-50.0,-26.0,11.0
610959,AU,Australia,Queensland,Brisbane City,ChIJOQnQf63jk2sRC2qMcQI1vdU,2020-06-26,-17.0,0.0,-2.0,-49.0,-24.0,10.0
